scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,gender_language_summary,summary:gender_language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.497106,0.449084,0.081334,0.84666
finetuning,loss,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.014847,0.495038,0.487615,0.014847,0.970452
finetuning,reference,all,all,41164,20552,20612,False,-0.09049198,calibration,0.505193,0.498699,0.512418,0.504281,0.001606,0.011142,0.052404,0.89511,0.946973,0.990685,0.498907,0.499632,0.500729,0.499087,0.997227,0.665238,-0.007511,0.010387,0.330741,0.246362,3.468657,37.960546,,,,,
finetuning,reference,gender,G0,20595,10280,10315,False,0.0153845,calibration,0.508085,0.499194,0.517597,0.508471,0.001946,0.012743,0.054864,0.89365,0.945613,0.990208,0.502889,0.503452,0.50085,0.501227,0.834436,0.626269,0.00921,0.01617,0.329299,0.247609,3.468631,37.913114,,,,,
finetuning,reference,gender,G1,20569,10272,10297,False,0.10100954,calibration,0.502579,0.491422,0.512855,0.500338,0.001363,0.009638,0.04926,0.897543,0.949306,0.991454,0.497302,0.496845,0.500608,0.486698,0.121106,0.193951,-0.009564,0.005158,0.332052,0.246536,3.468682,38.008037,,,,,
finetuning,reference,language,ar,10254,5102,5152,False,-0.09049198,calibration,0.49905,0.484134,0.511547,0.494903,0.002156,0.009016,0.049196,0.900233,0.950505,0.993012,0.496197,0.498597,0.502438,0.496855,0.990788,0.661822,-0.015951,-0.0019,0.333825,0.253535,3.232603,35.099166,,,,,
finetuning,reference,language,en,10296,5145,5151,False,0.08781849,calibration,0.5082,0.496931,0.520333,0.505474,0.000583,0.009718,0.049563,0.897301,0.947583,0.988546,0.503594,0.503418,0.500291,0.508301,0.202332,0.289448,0.008563,0.0164,0.329249,0.242546,3.691892,45.012159,,,,,
finetuning,reference,language,es,10311,5168,5143,False,0.10405483,calibration,0.516666,0.505258,0.526213,0.515035,0.002902,0.011997,0.05476,0.882364,0.943224,0.988139,0.499273,0.500164,0.501212,0.501834,0.132353,0.209463,0.000485,0.033332,0.325016,0.234167,3.456596,35.387396,,,,,
finetuning,reference,language,pt,10303,5137,5166,False,-0.02688787,calibration,0.499839,0.481712,0.513726,0.505223,0.001557,0.015573,0.057427,0.905149,0.95722,0.990902,0.496554,0.4979,0.501407,0.497519,0.975861,0.659042,-0.014308,-0.000323,0.33343,0.249976,3.492574,36.336642,,,,,
finetuning,reference,variety,argentina,1210,621,589,False,0.07032643,calibration,0.514748,0.471089,0.54968,0.522793,0.006441,0.011272,0.045089,0.874363,0.921902,0.977929,0.494215,0.495611,0.513223,0.508318,0.442834,0.473322,-0.008825,0.029497,0.326096,0.250116,3.566041,39.173837,,,,,
finetuning,reference,variety,australia,1740,868,872,False,0.08909089,calibration,0.517625,0.478152,0.544517,0.508169,0.0,0.008065,0.059908,0.873853,0.922018,0.983945,0.499425,0.498708,0.501149,0.495413,0.186636,0.27113,-0.003308,0.035249,0.324612,0.234391,3.657084,44.053582,,,,,
finetuning,reference,variety,brazil,5484,2705,2779,False,0.07922648,calibration,0.48702,0.462836,0.509472,0.488686,0.001109,0.013678,0.055083,0.919395,0.960777,0.992443,0.498359,0.495287,0.506747,0.484605,0.267652,0.344844,-0.010585,-0.025961,0.339854,0.261169,3.442731,35.140827,,,,,
finetuning,reference,variety,canada,1783,877,906,False,0.01385448,calibration,0.495267,0.465408,0.521223,0.482861,0.0,0.006842,0.04333,0.912804,0.956954,0.99117,0.492428,0.498088,0.508132,0.490741,0.846066,0.62118,-0.005324,-0.009467,0.335794,0.254347,3.653182,42.556046,,,,,
finetuning,reference,variety,chile,1467,716,751,False,0.07990744,calibration,0.510816,0.48354,0.545473,0.497194,0.001397,0.019553,0.051676,0.892144,0.958722,0.985353,0.513292,0.50937,0.511929,0.502033,0.344972,0.40894,0.019841,0.021632,0.328038,0.233715,3.587429,39.916258,,,,,
finetuning,reference,variety,colombia,1391,694,697,False,0.0771269,calibration,0.532097,0.498206,0.5663,0.529417,0.002882,0.014409,0.056196,0.878049,0.929699,0.967001,0.53271,0.53242,0.501078,0.543307,0.397695,0.459235,0.067332,0.064194,0.317393,0.226096,3.417144,34.121685,,,,,
finetuning,reference,variety,egypt,2521,1228,1293,False,0.4369866,calibration,0.49308,0.459732,0.520687,0.479025,0.003257,0.006515,0.052932,0.885538,0.943542,0.991493,0.512892,0.5,0.512892,0.0,0.0,0.0,0.0,-0.013839,0.336858,0.257438,3.097827,33.15714,,,,,
finetuning,reference,variety,great britain,1612,753,859,False,0.10994276,calibration,0.505154,0.470903,0.533169,0.480199,0.002656,0.018592,0.061089,0.88475,0.941793,0.988359,0.530397,0.50562,0.532878,0.489899,0.128818,0.203996,0.017084,0.010307,0.33087,0.250776,3.675568,45.209024,,,,,
finetuning,reference,variety,gulf,2434,1194,1240,False,0.04975298,calibration,0.495036,0.462241,0.52158,0.487495,0.002513,0.011725,0.056114,0.896774,0.959677,0.995161,0.486031,0.484084,0.509449,0.470527,0.381072,0.421101,-0.032519,-0.009927,0.335884,0.265715,3.224132,35.171687,,,,,
finetuning,reference,variety,ireland,1612,839,773,False,-0.00405379,calibration,0.500076,0.467534,0.528409,0.522064,0.001192,0.004768,0.045292,0.912031,0.959897,0.990944,0.514888,0.496214,0.520471,0.518494,0.952324,0.671429,-0.018436,0.000153,0.333399,0.24085,3.707596,45.880486,,,,,
finetuning,reference,variety,levantine,2615,1295,1320,False,-0.00363578,calibration,0.500045,0.464474,0.526793,0.498318,0.0,0.008494,0.054826,0.912121,0.954545,0.991667,0.49369,0.496701,0.50478,0.493196,0.811583,0.613543,-0.008495,9e-05,0.333375,0.250669,3.387682,36.911993,,,,,
finetuning,reference,variety,maghrebi,2684,1385,1299,False,-0.06537489,calibration,0.508685,0.476257,0.537473,0.518789,0.005054,0.011552,0.042599,0.892995,0.944573,0.986913,0.519374,0.504181,0.516021,0.518164,0.978339,0.6775,0.026406,0.01737,0.329056,0.242269,3.215782,35.091263,,,,,
finetuning,reference,variety,mexico,1571,810,761,False,0.10080909,calibration,0.522749,0.488539,0.552292,0.539373,0.007407,0.011111,0.049383,0.904074,0.952694,0.989488,0.500955,0.511836,0.515595,0.554622,0.162963,0.251908,0.032997,0.045499,0.322069,0.227562,3.390301,32.655095,,,,,
finetuning,reference,variety,new zealand,1738,885,853,False,0.06094234,calibration,0.515975,0.486825,0.537727,0.521132,0.00226,0.00904,0.053107,0.892145,0.947245,0.985932,0.512658,0.513161,0.509206,0.523114,0.485876,0.503808,0.026355,0.03195,0.32544,0.233458,3.797248,48.569847,,,,,
finetuning,reference,variety,peru,1404,696,708,False,-0.02618969,calibration,0.496794,0.457311,0.523658,0.490692,0.00431,0.012931,0.037356,0.889831,0.949153,0.995763,0.495014,0.499148,0.504274,0.495293,0.982759,0.658642,-0.006714,-0.006413,0.335056,0.244502,3.513876,37.447777,,,,,
finetuning,reference,variety,portugal,4819,2432,2387,False,0.0478202,calibration,0.510783,0.488292,0.535658,0.520273,0.002467,0.016447,0.060033,0.896104,0.949309,0.989108,0.511102,0.509176,0.504669,0.511163,0.715461,0.596299,0.020146,0.021567,0.327976,0.241855,3.549295,37.697475,,,,,
