study_name,job_hash,dataset,model,training_variant,evaluation_variant,evaluation_tier,seed,epochs,scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
smoke_olmo_lora_fast,0390c49e580e46af,pan17_multilingual,olmo2_1b,balanced,balanced_audit,audit,29,1,finetuning,loss,all,all,32,16,16,False,-4.39138157,calibration,0.457031,0.265873,0.672065,0.494985,0.0,0.0,0.0,0.9375,1.0,1.0,0.4375,0.4375,0.5,0.454545,0.625,0.526316,-0.13484,-0.085938,0.360887,0.288306,3.935379,66.24037,,,,,
smoke_olmo_lora_fast,0390c49e580e46af,pan17_multilingual,olmo2_1b,balanced,balanced_audit,audit,29,1,finetuning,min_k,all,all,32,16,16,False,-9.56372549,calibration,0.417969,0.214575,0.625,0.561816,0.1875,0.1875,0.1875,1.0,1.0,1.0,0.4375,0.4375,0.5,0.444444,0.5,0.470588,-0.125988,-0.164062,0.381048,0.346774,3.935379,66.24037,,,,,
smoke_olmo_lora_fast,0390c49e580e46af,pan17_multilingual,olmo2_1b,balanced,balanced_audit,audit,29,1,finetuning,reference,all,all,32,16,16,False,0.03740216,calibration,0.550781,0.34413,0.765873,0.539348,0.0,0.0,0.0,0.9375,0.9375,0.9375,0.59375,0.59375,0.5,0.615385,0.5,0.551724,0.190885,0.101562,0.3125,0.282258,3.935379,66.24037,,,,,
smoke_olmo_lora_fast,0390c49e580e46af,pan17_multilingual,olmo2_1b,balanced,balanced_audit,audit,29,1,finetuning,zlib,all,all,32,16,16,False,-0.00717478,calibration,0.417969,0.214575,0.626984,0.523578,0.0625,0.0625,0.0625,1.0,1.0,1.0,0.46875,0.46875,0.5,0.444444,0.25,0.32,-0.069505,-0.164062,0.381048,0.328629,3.935379,66.24037,,,,,
smoke_olmo_lora_fast,3e5901504b53019f,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,loss,all,all,41224,20612,20612,False,-4.39138157,calibration,0.500849,0.490235,0.512256,0.495895,0.000485,0.009169,0.043373,0.89477,0.944692,0.987532,0.50456,0.50456,0.5,0.503376,0.679895,0.578469,0.009739,0.001699,0.332913,0.249084,3.903297,65.079521,,,,,
smoke_olmo_lora_fast,3e5901504b53019f,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,min_k,all,all,41224,20612,20612,False,-9.56372549,calibration,0.50115,0.490834,0.511517,0.499268,0.000291,0.011353,0.0474,0.895449,0.948088,0.989084,0.501407,0.501407,0.5,0.501476,0.478168,0.489545,0.002817,0.002301,0.332806,0.246853,3.903297,65.079521,,,,,
smoke_olmo_lora_fast,3e5901504b53019f,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,reference,all,all,41224,20612,20612,False,0.03740216,calibration,0.506288,0.496429,0.515237,0.504324,0.001407,0.010431,0.050165,0.89642,0.949107,0.989569,0.505482,0.505482,0.5,0.507158,0.388415,0.439914,0.011278,0.012576,0.330193,0.2453,3.903297,65.079521,,,,,
smoke_olmo_lora_fast,3e5901504b53019f,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,zlib,all,all,41224,20612,20612,False,-0.00717478,calibration,0.503604,0.492148,0.515845,0.501536,0.001067,0.009849,0.050699,0.892247,0.941733,0.987192,0.498957,0.498957,0.5,0.498166,0.28333,0.361218,-0.002312,0.007208,0.331535,0.24758,3.903297,65.079521,,,,,
