scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,reference,language,en,19970,10006,9964,False,0.01156544,calibration,0.507522,0.497823,0.51941,0.510874,0.002798,0.012193,0.056366,0.894621,0.950522,0.990064,0.503405,0.502618,0.501052,0.502549,0.876874,0.638922,0.007896,0.015044,0.32958,0.245506,3.735572,46.02902,,,,,
finetuning,reference,language,es,20123,10069,10054,False,0.09330855,calibration,0.514918,0.502982,0.525119,0.514635,0.002384,0.014798,0.058198,0.892978,0.943505,0.98896,0.504994,0.505235,0.500373,0.515211,0.181647,0.268595,0.013735,0.029836,0.325882,0.23816,3.489662,36.10899,,,,,
finetuning,reference,variety,unknown,60034,30049,29985,False,0.12708194,calibration,0.510572,0.501588,0.519102,0.51113,0.001398,0.013611,0.055709,0.895548,0.945706,0.989628,0.501816,0.502303,0.500533,0.527357,0.045226,0.083308,0.011362,0.021143,0.32805,0.243624,3.549511,40.180977,,,,,
finetuning,reference,gender_language,G0|ar,10005,5001,5004,False,0.06867633,calibration,0.50563,0.485113,0.522688,0.507598,0.002,0.011598,0.053589,0.896483,0.947442,0.990608,0.503648,0.503603,0.50015,0.504999,0.353529,0.415902,0.007555,0.011259,0.330535,0.249775,3.432808,39.125414,,,,,
finetuning,reference,gender_language,G0|en,9954,4988,4966,False,0.06677342,calibration,0.513069,0.499981,0.525928,0.513106,0.003007,0.011026,0.055132,0.893274,0.949456,0.990133,0.512457,0.512693,0.501105,0.517241,0.405974,0.454903,0.025985,0.026139,0.326815,0.240582,3.69748,44.313144,,,,,
finetuning,reference,gender_language,G0|es,10063,5019,5044,False,0.09341566,calibration,0.504664,0.490658,0.519536,0.505359,0.003387,0.015939,0.053995,0.900476,0.950436,0.989294,0.501043,0.500305,0.501242,0.49951,0.203028,0.288709,0.000758,0.009329,0.331017,0.247193,3.490637,36.0722,,,,,
finetuning,reference,gender_language,G1|ar,9936,4973,4963,False,0.1056245,calibration,0.513784,0.490685,0.534921,0.510994,0.001005,0.012668,0.053087,0.890389,0.942978,0.985694,0.503623,0.504034,0.500503,0.522453,0.095918,0.16208,0.013965,0.027567,0.326458,0.239055,3.414277,37.736944,,,,,
finetuning,reference,gender_language,G1|en,10016,5018,4998,False,0.01156544,calibration,0.50206,0.486294,0.515563,0.508872,0.002391,0.014348,0.057194,0.898559,0.948379,0.989796,0.503794,0.503068,0.500998,0.502775,0.866481,0.636324,0.008935,0.00412,0.33232,0.248627,3.773429,47.734275,,,,,
finetuning,reference,gender_language,G1|es,10060,5050,5010,False,0.13813071,calibration,0.525385,0.507465,0.538626,0.526096,0.001386,0.015446,0.063564,0.886826,0.939721,0.986427,0.500696,0.502616,0.501988,0.578947,0.019604,0.037924,0.02024,0.05077,0.320656,0.234518,3.488685,36.145791,,,,,
finetuning,reference,language_summary,summary:language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.510642,0.507522,0.007396,0.985636
finetuning,reference,variety_summary,summary:variety,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.510572,0.510572,0.0,1.0
finetuning,reference,gender_language_summary,summary:gender_language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.510765,0.50206,0.023325,0.955604
finetuning,reference,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.00609,0.510657,0.507612,0.00609,0.988144
