scenario,attack,scope,samples,auc_roc,tpr_at_1_fpr,tpr_at_0_1_fpr,accuracy,balanced_accuracy,majority_class_accuracy,pld_auc_roc,pld_accuracy
finetuning,loss,all,6000,0.513489,0.009,0.000333,0.5175,0.5175,0.5,,
finetuning,loss,G0,3000,0.51808,0.01,0.000667,0.521333,0.521333,0.5,,
finetuning,loss,G1,3000,0.509421,0.004,0.0,0.520333,0.520333,0.5,,
finetuning,loss,gap:G0-G1,,,,,,,,0.008659,0.001
finetuning,min_k,all,6000,0.516205,0.007333,0.001,0.517167,0.517167,0.5,,
finetuning,min_k,G0,3000,0.522296,0.012,0.002,0.525333,0.525333,0.5,,
finetuning,min_k,G1,3000,0.510991,0.003333,0.0,0.523,0.523,0.5,,
finetuning,min_k,gap:G0-G1,,,,,,,,0.011306,0.002333
finetuning,neighborhood,all,6000,0.497913,0.014,0.001,0.505,0.505,0.5,,
finetuning,neighborhood,G0,3000,0.487381,0.011333,0.001333,0.506333,0.506333,0.5,,
finetuning,neighborhood,G1,3000,0.508754,0.013333,0.002,0.518,0.518,0.5,,
finetuning,neighborhood,gap:G0-G1,,,,,,,,0.021372,0.011667
finetuning,reference,all,6000,0.498314,0.012,0.001667,0.5055,0.5055,0.5,,
finetuning,reference,G0,3000,0.486567,0.011333,0.001333,0.504667,0.504667,0.5,,
finetuning,reference,G1,3000,0.509977,0.013333,0.0,0.512667,0.512667,0.5,,
finetuning,reference,gap:G0-G1,,,,,,,,0.02341,0.008
finetuning,zlib,all,6000,0.495825,0.012,0.001,0.506,0.506,0.5,,
finetuning,zlib,G0,3000,0.498266,0.012,0.002667,0.509667,0.509667,0.5,,
finetuning,zlib,G1,3000,0.49309,0.009333,0.000667,0.506667,0.506667,0.5,,
finetuning,zlib,gap:G0-G1,,,,,,,,0.005176,0.003
