study_name,job_hash,dataset,model,training_variant,evaluation_variant,evaluation_tier,seed,epochs,scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,all,all,400,200,200,False,-3.1121324,calibration,0.539,0.484724,0.597708,0.516895,0.0,0.01,0.035,0.85,0.89,0.93,0.5075,0.5075,0.5,0.520548,0.19,0.278388,0.019417,0.078,0.314202,0.220602,3.466857,38.097438,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,min_k,all,all,400,200,200,False,-8.20833333,calibration,0.513525,0.463701,0.568382,0.513294,0.0,0.015,0.03,0.9,0.925,0.965,0.49,0.49,0.5,0.488235,0.415,0.448649,-0.020229,0.02705,0.327059,0.255627,3.466857,38.097438,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,reference,all,all,400,200,200,False,0.191343,calibration,0.535875,0.479634,0.594818,0.533123,0.005,0.03,0.06,0.845,0.94,0.98,0.5075,0.5075,0.5,0.588235,0.05,0.092166,0.037179,0.07175,0.315769,0.240602,3.466857,38.097438,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,zlib,all,all,400,200,200,False,-0.00437413,calibration,0.537375,0.483966,0.595177,0.529407,0.0,0.015,0.03,0.875,0.935,0.965,0.5,0.5,0.5,0.5,0.03,0.056604,0.0,0.07475,0.315017,0.235627,3.466857,38.097438,,,,,
pilot_training_exposure_pan17,e990d27fca627e70,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,loss,all,all,400,200,200,False,-3.20920011,calibration,0.537425,0.485185,0.598857,0.512921,0.0,0.005,0.035,0.855,0.885,0.945,0.495,0.495,0.5,0.488095,0.205,0.288732,-0.012276,0.07485,0.314992,0.215627,3.49253,38.871306,,,,,
pilot_training_exposure_pan17,e990d27fca627e70,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,min_k,all,all,400,200,200,False,-7.97181373,calibration,0.511938,0.466571,0.564455,0.509689,0.0,0.01,0.035,0.915,0.925,0.965,0.5175,0.5175,0.5,0.526316,0.35,0.42042,0.037146,0.023875,0.327861,0.270627,3.49253,38.871306,,,,,
pilot_training_exposure_pan17,e990d27fca627e70,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,reference,all,all,400,200,200,False,-0.01587017,calibration,0.5228,0.463164,0.57419,0.528647,0.01,0.02,0.06,0.91,0.925,0.985,0.5075,0.5075,0.5,0.504043,0.935,0.654991,0.028922,0.0456,0.322322,0.230627,3.49253,38.871306,,,,,
pilot_training_exposure_pan17,e990d27fca627e70,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,1,finetuning,zlib,all,all,400,200,200,False,-0.00625771,calibration,0.5333,0.478153,0.590667,0.52598,0.0,0.015,0.05,0.895,0.93,0.965,0.5075,0.5075,0.5,0.526316,0.15,0.233463,0.021455,0.0666,0.317059,0.235627,3.49253,38.871306,,,,,
