scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,reference,variety,australia,1759,887,872,False,0.07049557,calibration,0.487009,0.456155,0.518662,0.50031,0.002255,0.007892,0.052988,0.896789,0.96445,0.993119,0.49062,0.492386,0.504264,0.491262,0.285231,0.360913,-0.016732,-0.025982,0.339927,0.260364,3.654103,43.883757,,,,,
finetuning,reference,variety,brazil,5552,2773,2779,False,0.11295027,calibration,0.486283,0.460399,0.507623,0.495016,0.000721,0.009016,0.053732,0.921914,0.963296,0.989565,0.503422,0.502967,0.50054,0.518182,0.082221,0.141923,0.010985,-0.027433,0.340223,0.260672,3.448754,35.260095,,,,,
finetuning,reference,variety,canada,1760,854,906,False,0.10367831,calibration,0.492607,0.459757,0.52353,0.478325,0.001171,0.014052,0.048009,0.890728,0.943709,0.988962,0.5125,0.499943,0.514773,0.484848,0.074941,0.129817,-0.000216,-0.014786,0.337123,0.258097,3.668939,42.963378,,,,,
finetuning,reference,variety,chile,1481,730,751,False,0.06049389,calibration,0.504299,0.475856,0.531761,0.504394,0.00137,0.017808,0.063014,0.893475,0.934754,0.986684,0.496286,0.496549,0.50709,0.489583,0.515068,0.502003,-0.006906,0.008599,0.331295,0.249156,3.588087,39.87575,,,,,
finetuning,reference,variety,colombia,1414,717,697,False,0.01952335,calibration,0.521406,0.485079,0.554834,0.53731,0.006974,0.027894,0.062762,0.898135,0.942611,0.981349,0.511315,0.506265,0.507072,0.510726,0.863319,0.641783,0.017902,0.042811,0.322743,0.233154,3.430704,34.267573,,,,,
finetuning,reference,variety,egypt,2584,1291,1293,False,0.25694661,calibration,0.474683,0.44181,0.507795,0.475017,0.003873,0.006971,0.034857,0.906419,0.955916,0.988399,0.494969,0.494594,0.500387,0.325,0.01007,0.019534,-0.04379,-0.050635,0.346061,0.267601,3.103629,33.629773,,,,,
finetuning,reference,variety,great britain,1730,871,859,False,0.01134392,calibration,0.519704,0.487619,0.551933,0.530309,0.002296,0.019518,0.073479,0.892899,0.947614,0.98021,0.505202,0.502436,0.503468,0.504823,0.901263,0.647156,0.008078,0.039408,0.323572,0.249567,3.672319,44.805499,,,,,
finetuning,reference,variety,gulf,2436,1196,1240,False,-0.01375984,calibration,0.513466,0.47078,0.545008,0.507826,0.001672,0.012542,0.061037,0.907258,0.959677,0.994355,0.503695,0.509667,0.509031,0.496787,0.840301,0.624418,0.025758,0.026931,0.326668,0.244356,3.171152,34.345317,,,,,
finetuning,reference,variety,ireland,1612,839,773,False,-0.01712495,calibration,0.480354,0.449789,0.514322,0.516462,0.001192,0.009535,0.058403,0.939198,0.96119,0.980595,0.524194,0.504441,0.520471,0.522727,0.986889,0.68345,0.033962,-0.039292,0.34325,0.265664,3.665623,44.641737,,,,,
finetuning,reference,variety,levantine,2608,1288,1320,False,0.0711538,calibration,0.493915,0.460565,0.526614,0.489909,0.000776,0.010093,0.048913,0.917424,0.946212,0.989394,0.50115,0.498031,0.506135,0.48986,0.243789,0.325557,-0.004573,-0.012171,0.336441,0.253163,3.41295,37.442162,,,,,
finetuning,reference,variety,maghrebi,2687,1388,1299,False,0.21941305,calibration,0.522791,0.487915,0.549981,0.540173,0.002161,0.018012,0.073487,0.878368,0.938414,0.986913,0.49051,0.506055,0.516561,0.614458,0.036744,0.069341,0.034975,0.045582,0.322008,0.235393,3.146394,33.957836,,,,,
finetuning,reference,variety,mexico,1554,793,761,False,0.08522389,calibration,0.521256,0.486581,0.554851,0.537563,0.007566,0.017654,0.066835,0.875164,0.950066,0.986859,0.508366,0.513937,0.510296,0.540616,0.24338,0.335652,0.033124,0.042512,0.32281,0.23536,3.409285,33.163886,,,,,
finetuning,reference,variety,new zealand,1667,814,853,False,0.06354737,calibration,0.514055,0.481187,0.540402,0.503769,0.001229,0.011057,0.056511,0.89449,0.961313,0.988277,0.516497,0.515165,0.511698,0.50542,0.458231,0.48067,0.030522,0.02811,0.326405,0.238452,3.801645,48.505161,,,,,
finetuning,reference,variety,peru,1455,747,708,False,0.12329024,calibration,0.54387,0.501901,0.567716,0.549551,0.002677,0.017403,0.06158,0.879944,0.935028,0.990113,0.492784,0.504402,0.513402,0.546392,0.07095,0.125592,0.01764,0.087741,0.311513,0.218213,3.513401,37.567641,,,,,
