scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,loss,variety,united states,1802,914,888,False,-3.91339432,calibration,0.473681,0.43544,0.522992,0.481148,0.0,0.006565,0.025164,0.911036,0.962838,0.994369,0.490011,0.487478,0.507214,0.497946,0.66302,0.568747,-0.026739,-0.052637,0.34659,0.265677,3.657154,43.821432,,,,,
finetuning,loss,variety,venezuela,1568,763,805,False,-3.75277315,calibration,0.491266,0.44229,0.540128,0.477738,0.0,0.009174,0.040629,0.896894,0.944099,0.996273,0.482143,0.489977,0.513393,0.48029,0.782438,0.595214,-0.024719,-0.017468,0.337806,0.256709,3.322945,31.904361,,,,,
finetuning,loss,gender_language,G0|ar,5189,2595,2594,False,-2.23822929,calibration,0.509702,0.487171,0.536513,0.50858,0.0,0.006166,0.054335,0.888589,0.943331,0.990748,0.514357,0.514414,0.500096,0.534949,0.221195,0.312977,0.03559,0.019403,0.328514,0.253806,3.251885,36.426074,,,,,
finetuning,loss,gender_language,G0|en,5146,2580,2566,False,-3.84614231,calibration,0.499582,0.4755,0.52361,0.498078,0.0,0.00814,0.048837,0.890101,0.941543,0.98675,0.498445,0.49817,0.50136,0.499838,0.599225,0.545038,-0.003736,-0.000835,0.333575,0.25549,3.658631,43.859167,,,,,
finetuning,loss,gender_language,G0|es,5157,2587,2570,False,-3.31064719,calibration,0.503758,0.48228,0.522268,0.500532,0.000773,0.006185,0.045613,0.9,0.949416,0.991051,0.505139,0.505815,0.501648,0.511506,0.300734,0.378773,0.012751,0.007515,0.331486,0.244134,3.455665,35.291335,,,,,
finetuning,loss,gender_language,G0|pt,5160,2575,2585,False,-3.79415916,calibration,0.519427,0.479005,0.555209,0.503046,0.0,0.003883,0.040388,0.869246,0.923791,0.976402,0.520349,0.520852,0.500969,0.512755,0.780583,0.618938,0.048803,0.038855,0.32365,0.235514,3.489752,36.08748,,,,,
finetuning,loss,gender_language,G1|ar,5126,2568,2558,False,-4.62623076,calibration,0.451794,0.427078,0.477128,0.470906,0.001168,0.008178,0.042056,0.928069,0.964034,0.992572,0.499415,0.498454,0.500975,0.500197,0.991044,0.664838,-0.018025,-0.096412,0.357474,0.284774,3.18004,33.682712,,,,,
finetuning,loss,gender_language,G1|en,5184,2599,2585,False,-3.97151288,calibration,0.485498,0.464312,0.504923,0.481556,0.0,0.001924,0.037322,0.901354,0.951257,0.991489,0.497685,0.497179,0.50135,0.499298,0.684494,0.57741,-0.006084,-0.029003,0.340618,0.257571,3.718849,45.888746,,,,,
finetuning,loss,gender_language,G1|es,5133,2560,2573,False,-3.07792088,calibration,0.489534,0.469248,0.511652,0.488488,0.002734,0.008984,0.036328,0.898562,0.951419,0.989895,0.493474,0.49261,0.501266,0.47549,0.151562,0.229858,-0.020211,-0.020933,0.3386,0.254822,3.486286,36.303996,,,,,
finetuning,loss,gender_language,G1|pt,5129,2548,2581,False,-3.61989275,calibration,0.531194,0.494198,0.557481,0.52541,0.00157,0.010597,0.068681,0.882604,0.934522,0.989151,0.515695,0.516014,0.503217,0.511356,0.565542,0.537085,0.032184,0.062387,0.317767,0.230649,3.503577,36.88638,,,,,
