scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,reference,gender_language,G0|en,5146,2580,2566,False,0.71840203,calibration,0.504191,0.487392,0.520095,0.50987,0.003488,0.00969,0.052713,0.903741,0.961029,0.989088,0.501555,0.502798,0.50136,0.533937,0.045736,0.084256,0.013802,0.008382,0.33127,0.24966,3.597732,41.010259,,,,,
finetuning,reference,gender_language,G0|es,5157,2587,2570,False,0.33707915,calibration,0.515414,0.495706,0.53342,0.51488,0.000773,0.013143,0.059915,0.883658,0.940078,0.985992,0.514834,0.51405,0.501648,0.51117,0.751836,0.608573,0.031946,0.030828,0.325657,0.23948,3.810528,51.150038,,,,,
finetuning,reference,gender_language,G0|pt,5160,2575,2585,False,0.25269629,calibration,0.483817,0.448659,0.506057,0.476854,0.0,0.001942,0.031456,0.897872,0.943907,0.984139,0.495349,0.495895,0.500969,0.496405,0.777476,0.605932,-0.009937,-0.032365,0.341458,0.261483,4.062167,66.009763,,,,,
finetuning,reference,gender_language,G1|ar,5126,2568,2558,False,0.62483756,calibration,0.473917,0.447783,0.49975,0.486721,0.002726,0.011682,0.048676,0.913604,0.949961,0.986317,0.500585,0.501542,0.500975,0.583333,0.010903,0.021407,0.016014,-0.052167,0.34641,0.265655,2.576908,14.939973,,,,,
finetuning,reference,gender_language,G1|en,5184,2599,2585,False,0.51500167,calibration,0.504204,0.478173,0.527802,0.499237,0.002309,0.009234,0.040015,0.883946,0.937718,0.980658,0.504437,0.504503,0.50135,0.506088,0.4798,0.492593,0.009018,0.008408,0.331263,0.245997,3.683568,43.934665,,,,,
finetuning,reference,gender_language,G1|es,5133,2560,2573,False,0.34936807,calibration,0.499652,0.481328,0.518029,0.492303,0.002344,0.010547,0.035156,0.884959,0.941314,0.987563,0.499903,0.500578,0.501266,0.499111,0.767188,0.604773,0.001366,-0.000695,0.33354,0.252094,3.869965,53.903604,,,,,
finetuning,reference,gender_language,G1|pt,5129,2548,2581,False,0.34551754,calibration,0.522581,0.491285,0.552326,0.511908,0.0,0.012559,0.051413,0.882604,0.935684,0.991864,0.51862,0.519963,0.503217,0.510867,0.728807,0.600679,0.043937,0.045161,0.322074,0.232989,4.03278,63.977768,,,,,
finetuning,reference,language_summary,summary:language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.502661,0.495551,0.012048,0.976264
finetuning,reference,variety_summary,summary:variety,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.503892,0.476309,0.07432,0.865027
finetuning,reference,gender_language_summary,summary:gender_language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.502545,0.473917,0.048664,0.906877
finetuning,reference,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.000562,0.503542,0.503261,0.000562,0.998885
