scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
finetuning,reference,gender,G0,30042,15028,15014,False,0.0897778,calibration,0.503576,0.493583,0.513677,0.504752,0.001131,0.01098,0.05197,0.898362,0.949647,0.991075,0.50466,0.5048,0.500233,0.512244,0.204618,0.292425,0.012004,0.007151,0.331551,0.249409,3.539353,39.770686,,,,,
finetuning,reference,gender,G1,29925,14954,14971,False,0.13079399,calibration,0.510457,0.500876,0.520264,0.510943,0.00107,0.012104,0.059248,0.891524,0.946831,0.987643,0.503124,0.502857,0.500284,0.548023,0.032433,0.061241,0.016866,0.020914,0.32811,0.242807,3.55823,40.491149,,,,,
finetuning,reference,language,ar,19946,9979,9967,False,0.08857998,calibration,0.502824,0.489883,0.513409,0.503706,0.000701,0.011925,0.051709,0.894251,0.94843,0.990168,0.503459,0.503646,0.500301,0.509939,0.192805,0.279814,0.009311,0.005647,0.33193,0.24916,3.423723,38.401619,,,,,
finetuning,reference,language,en,19931,9967,9964,False,0.12365835,calibration,0.509527,0.500786,0.519058,0.512637,0.001505,0.011538,0.056787,0.89723,0.950723,0.989864,0.503437,0.503505,0.500075,0.539414,0.048059,0.088254,0.01699,0.019054,0.328578,0.247178,3.735514,45.973989,,,,,
finetuning,reference,language,es,20090,10036,10054,False,0.08061085,calibration,0.509679,0.499591,0.519292,0.507922,0.001594,0.013252,0.055201,0.893077,0.946389,0.987866,0.502937,0.502727,0.500448,0.504683,0.268434,0.350462,0.006173,0.019358,0.328502,0.243143,3.487663,36.048897,,,,,
finetuning,reference,variety,unknown,59967,29982,29985,False,0.12514834,calibration,0.506987,0.499223,0.514689,0.507675,0.000901,0.01174,0.055433,0.895581,0.947374,0.989195,0.501926,0.501903,0.500025,0.521477,0.046161,0.084814,0.009254,0.013974,0.329843,0.246277,3.548773,40.130215,,,,,
finetuning,reference,gender_language,G0|ar,10007,5003,5004,False,0.00878248,calibration,0.499842,0.479713,0.517606,0.500941,0.0008,0.009394,0.04977,0.897282,0.95044,0.991607,0.49965,0.499678,0.50005,0.499744,0.781731,0.609712,-0.000779,-0.000316,0.333429,0.250375,3.435891,39.202024,,,,,
finetuning,reference,gender_language,G0|en,9957,4991,4966,False,0.06977542,calibration,0.50826,0.494632,0.522269,0.51188,0.001403,0.010218,0.056702,0.898308,0.953484,0.990334,0.510395,0.510724,0.501255,0.515795,0.379483,0.437262,0.022227,0.016521,0.329219,0.245757,3.695883,44.13386,,,,,
finetuning,reference,gender_language,G0|es,10078,5034,5044,False,0.04960157,calibration,0.503528,0.489747,0.518545,0.502878,0.003178,0.013905,0.050258,0.900079,0.952815,0.989492,0.501588,0.50168,0.500496,0.50092,0.594954,0.543903,0.00342,0.007056,0.331586,0.247842,3.487435,36.024554,,,,,
finetuning,reference,gender_language,G1|ar,9939,4976,4963,False,0.10198553,calibration,0.505984,0.483621,0.529659,0.506898,0.000402,0.012862,0.055868,0.895628,0.944388,0.988717,0.502566,0.503074,0.500654,0.514493,0.114148,0.186842,0.009784,0.011968,0.330358,0.244642,3.411472,37.595737,,,,,
finetuning,reference,gender_language,G1|en,9974,4976,4998,False,0.1157101,calibration,0.510857,0.492439,0.522305,0.513808,0.001608,0.012661,0.060088,0.896158,0.94878,0.989796,0.506617,0.505651,0.501103,0.544571,0.067524,0.12015,0.023457,0.021713,0.327921,0.247619,3.775078,47.810981,,,,,
finetuning,reference,gender_language,G1|es,10012,5002,5010,False,0.01775984,calibration,0.515944,0.49932,0.531878,0.514047,0.0012,0.012595,0.063774,0.890419,0.939721,0.987226,0.504395,0.504647,0.5004,0.50245,0.820072,0.62312,0.011978,0.031889,0.325377,0.23744,3.487893,36.073401,,,,,
finetuning,reference,language_summary,summary:language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.507343,0.502824,0.006855,0.98655
finetuning,reference,variety_summary,summary:variety,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.506987,0.506987,0.0,1.0
finetuning,reference,gender_language_summary,summary:gender_language,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,0.507403,0.499842,0.016102,0.96879
finetuning,reference,gender_gap,gap:G0-G1,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.006881,0.507016,0.503576,0.006881,0.986519
